FROM,TO,SUPPORT,CONFIDENCE,BELIEVE
"伦晚橙（果体偏软）&烟台水晶富士","不知火丑柑",0.0060869565217391,0.33676975945017,0.999
"不知火丑柑&伦晚橙（果体偏软）","砀山梨",0.0061490683229814,0.30182926829268,0.999
"伦晚橙（果体偏软）&砀山梨","不知火丑柑",0.0061490683229814,0.38372093023256,0.999
"不知火丑柑&伦晚橙（果体偏软）","越南香蕉",0.0070186335403727,0.34451219512195,0.999
"伦晚橙（果体偏软）&越南香蕉","不知火丑柑",0.0070186335403727,0.36688311688312,0.999
"不知火丑柑&伦晚橙（果体偏软）","黄蕉苹果",0.0062111801242236,0.30487804878049,0.999
"伦晚橙（果体偏软）&黄蕉苹果","不知火丑柑",0.0062111801242236,0.35971223021583,0.999
"不知火丑柑&天山雪梨","烟台水晶富士",0.0061490683229814,0.34494773519164,0.999
"不知火丑柑&天山雪梨","越南香蕉",0.0060869565217391,0.34146341463415,0.999
"天山雪梨&越南香蕉","不知火丑柑",0.0060869565217391,0.33676975945017,0.999
"不知火丑柑&智利黑布林","越南香蕉",0.0070807453416149,0.4,0.999
"智利黑布林&越南香蕉","不知火丑柑",0.0070807453416149,0.32386363636364,0.999
"不知火丑柑&烟台水晶富士","越南香蕉",0.0078260869565217,0.33689839572193,0.999
"不知火丑柑&砀山梨","越南香蕉",0.007888198757764,0.34231805929919,0.999
"砀山梨&越南香蕉","不知火丑柑",0.007888198757764,0.33333333333333,0.999
"不知火丑柑&砀山梨","黄蕉苹果",0.0096273291925466,0.4177897574124,0.999
"不知火丑柑&黄蕉苹果","砀山梨",0.0096273291925466,0.37081339712919,0.999
"不知火丑柑&阿克苏苹果","越南香蕉",0.0061490683229814,0.35357142857143,0.999
"越南香蕉&阿克苏苹果","不知火丑柑",0.0061490683229814,0.32142857142857,0.999
"不知火丑柑&黄蕉苹果","越南香蕉",0.0098136645962733,0.37799043062201,0.999
"越南香蕉&黄蕉苹果","不知火丑柑",0.0098136645962733,0.33545647558386,0.999
"伦晚橙（果体偏软）&烟台水晶富士","越南香蕉",0.0065217391304348,0.36082474226804,0.999
"伦晚橙（果体偏软）&越南香蕉","烟台水晶富士",0.0065217391304348,0.34090909090909,0.999
"伦晚橙（果体偏软）&烟台水晶富士","黄蕉苹果",0.0060248447204969,0.33333333333333,0.999
"伦晚橙（果体偏软）&黄蕉苹果","烟台水晶富士",0.0060248447204969,0.34892086330935,0.999
"伦晚橙（果体偏软）&砀山梨","黄蕉苹果",0.0068944099378882,0.43023255813953,0.999
"伦晚橙（果体偏软）&黄蕉苹果","砀山梨",0.0068944099378882,0.39928057553957,0.999
"伦晚橙（果体偏软）&越南香蕉","黄蕉苹果",0.006583850931677,0.34415584415584,0.999
"伦晚橙（果体偏软）&黄蕉苹果","越南香蕉",0.006583850931677,0.38129496402878,0.999
"天山雪梨&烟台水晶富士","皇冠梨",0.0067080745341615,0.32530120481928,0.999
"天山雪梨&皇冠梨","烟台水晶富士",0.0067080745341615,0.49090909090909,0.999
"烟台水晶富士&皇冠梨","天山雪梨",0.0067080745341615,0.32926829268293,0.999
"天山雪梨&烟台水晶富士","越南香蕉",0.0062732919254658,0.30421686746988,0.999
"天山雪梨&越南香蕉","烟台水晶富士",0.0062732919254658,0.34707903780069,0.999
"天山雪梨&烟台水晶富士","黄蕉苹果",0.0066459627329193,0.32228915662651,0.999
"天山雪梨&黄蕉苹果","烟台水晶富士",0.0066459627329193,0.38351254480287,0.999
"天山雪梨&皇冠梨","砀山梨",0.0060869565217391,0.44545454545455,0.999
"天山雪梨&砀山梨","皇冠梨",0.0060869565217391,0.4016393442623,0.999
"皇冠梨&砀山梨","天山雪梨",0.0060869565217391,0.44954128440367,0.999
"天山雪梨&砀山梨","黄蕉苹果",0.0073291925465839,0.48360655737705,0.999
"天山雪梨&黄蕉苹果","砀山梨",0.0073291925465839,0.42293906810036,0.999
"智利黑布林&黄蕉苹果","越南香蕉",0.0060869565217391,0.41350210970464,0.999
"烟台水晶富士&皇冠梨","越南香蕉",0.0063975155279503,0.3140243902439,0.999
"皇冠梨&越南香蕉","烟台水晶富士",0.0063975155279503,0.42213114754098,0.999
"烟台水晶富士&皇冠梨","黄蕉苹果",0.0081987577639752,0.40243902439024,0.999
"烟台水晶富士&黄蕉苹果","皇冠梨",0.0081987577639752,0.31353919239905,0.999
"皇冠梨&黄蕉苹果","烟台水晶富士",0.0081987577639752,0.45360824742268,0.999
"烟台水晶富士&砀山梨","越南香蕉",0.0075776397515528,0.31688311688312,0.999
"砀山梨&越南香蕉","烟台水晶富士",0.0075776397515528,0.32020997375328,0.999
"砀山梨&阿克苏苹果","烟台水晶富士",0.0061490683229814,0.40243902439024,0.999
"烟台水晶富士&砀山梨","黄蕉苹果",0.011987577639752,0.5012987012987,0.999
"烟台水晶富士&黄蕉苹果","砀山梨",0.011987577639752,0.458432304038,0.999
"砀山梨&黄蕉苹果","烟台水晶富士",0.011987577639752,0.3271186440678,0.999
"烟台水晶富士&越南香蕉","黄蕉苹果",0.0085093167701863,0.30786516853933,0.999
"烟台水晶富士&黄蕉苹果","越南香蕉",0.0085093167701863,0.32541567695962,0.999
"烟台水晶富士&阿克苏苹果","黄蕉苹果",0.0072049689440994,0.34117647058824,0.999
"阿克苏苹果&黄蕉苹果","烟台水晶富士",0.0072049689440994,0.37060702875399,0.999
"皇冠梨&砀山梨","黄蕉苹果",0.0074534161490683,0.55045871559633,0.999
"皇冠梨&黄蕉苹果","砀山梨",0.0074534161490683,0.41237113402062,0.999
"砀山梨&越南香蕉","黄蕉苹果",0.010434782608696,0.44094488188976,0.999
"越南香蕉&黄蕉苹果","砀山梨",0.010434782608696,0.35668789808917,0.999
"砀山梨&阿克苏苹果","黄蕉苹果",0.0066459627329193,0.4349593495935,0.999
"阿克苏苹果&黄蕉苹果","砀山梨",0.0066459627329193,0.34185303514377,0.999
